Seizoen,Datum,Thuisclub,Uitclub,Thuisscore,Uitscore
1973-1974,1974-03-03,MVV,Feyenoord,0,0
1973-1974,1974-03-03,PSV,Haarlem,1,1
1973-1974,1974-03-03,Roda JC,FC Groningen,1,0
1973-1974,1974-03-03,Sparta,FC Twente `65,1,2
1973-1974,1974-03-03,Telstar,NEC,2,1
1973-1974,1974-03-10,AZ `67,MVV,1,2
1973-1974,1974-03-10,FC Amsterdam,Roda JC,2,0
1973-1974,1974-03-10,FC Groningen,Go Ahead Eagles,1,0
1973-1974,1974-03-10,FC Twente `65,Telstar,3,1
1973-1974,1974-03-10,FC Utrecht,PSV,4,3
1973-1974,1974-03-10,Feyenoord,De Graafschap,2,0
1973-1974,1974-03-10,Haarlem,Ajax,0,1
1973-1974,1974-03-10,NAC,Sparta,0,0
1973-1974,1974-03-10,NEC,FC Den Haag,0,0
1973-1974,1974-03-17,Ajax,FC Utrecht,5,2
1973-1974,1974-03-17,De Graafschap,AZ `67,2,0
1973-1974,1974-03-17,FC Den Haag,FC Twente `65,0,0
1973-1974,1974-03-17,FC Groningen,FC Amsterdam,1,2
1973-1974,1974-03-17,Go Ahead Eagles,PSV,3,5
1973-1974,1974-03-17,MVV,Haarlem,0,0
1973-1974,1974-03-17,Roda JC,NEC,1,1
1973-1974,1974-03-17,Sparta,Feyenoord,1,3
1973-1974,1974-03-17,Telstar,NAC,2,2
1973-1974,1974-03-24,AZ `67,Sparta,2,0
1973-1974,1974-03-24,FC Amsterdam,Go Ahead Eagles,3,0
1973-1974,1974-03-24,FC Twente `65,Roda JC,1,0
1973-1974,1974-03-24,FC Utrecht,MVV,1,0
1973-1974,1974-03-24,Feyenoord,Telstar,1,0
1973-1974,1974-03-24,Haarlem,De Graafschap,6,3
1973-1974,1974-03-24,NAC,FC Den Haag,1,1
1973-1974,1974-03-24,NEC,FC Groningen,3,0
1973-1974,1974-03-24,PSV,Ajax,3,1
1973-1974,1974-03-31,De Graafschap,FC Utrecht,3,0
1973-1974,1974-03-31,FC Amsterdam,NEC,5,0
1973-1974,1974-03-31,FC Den Haag,Feyenoord,0,2
1973-1974,1974-03-31,FC Groningen,FC Twente `65,1,2
1973-1974,1974-03-31,Go Ahead Eagles,Ajax,2,2
1973-1974,1974-03-31,MVV,PSV,4,3
1973-1974,1974-03-31,Roda JC,NAC,0,0
1973-1974,1974-03-31,Sparta,Haarlem,1,0
1973-1974,1974-03-31,Telstar,AZ `67,3,0
1973-1974,1974-04-07,Ajax,MVV,4,1
1973-1974,1974-04-07,AZ `67,FC Den Haag,1,1
1973-1974,1974-04-07,FC Twente `65,FC Amsterdam,2,0
1973-1974,1974-04-07,FC Utrecht,Sparta,2,2
1973-1974,1974-04-07,Feyenoord,Roda JC,8,0
1973-1974,1974-04-07,Haarlem,Telstar,2,1
1973-1974,1974-04-07,NAC,FC Groningen,4,1
1973-1974,1974-04-07,NEC,Go Ahead Eagles,2,2
1973-1974,1974-04-07,PSV,De Graafschap,3,0
1973-1974,1974-04-15,De Graafschap,Ajax,1,0
1973-1974,1974-04-15,FC Amsterdam,NAC,2,2
1973-1974,1974-04-15,FC Den Haag,Haarlem,1,0
1973-1974,1974-04-15,FC Groningen,Feyenoord,0,3
1973-1974,1974-04-15,Go Ahead Eagles,MVV,0,0
1973-1974,1974-04-15,NEC,FC Twente `65,0,2
1973-1974,1974-04-15,Roda JC,AZ `67,0,0
1973-1974,1974-04-15,Sparta,PSV,1,1
1973-1974,1974-04-15,Telstar,FC Utrecht,2,2
1973-1974,1974-04-21,Ajax,Sparta,0,0
1973-1974,1974-04-21,AZ `67,FC Groningen,3,1
1973-1974,1974-04-21,FC Twente `65,Go Ahead Eagles,2,1
1973-1974,1974-04-21,FC Utrecht,FC Den Haag,3,1
1973-1974,1974-04-21,Feyenoord,FC Amsterdam,5,0
1973-1974,1974-04-21,Haarlem,Roda JC,1,0
1973-1974,1974-04-21,MVV,De Graafschap,4,1
1973-1974,1974-04-21,NAC,NEC,1,3
1973-1974,1974-04-21,PSV,Telstar,1,1
1973-1974,1974-04-28,FC Amsterdam,AZ `67,1,0
1973-1974,1974-04-28,FC Den Haag,PSV,0,3
1973-1974,1974-04-28,FC Groningen,Haarlem,2,1
1973-1974,1974-04-28,FC Twente `65,NAC,5,2
1973-1974,1974-04-28,Go Ahead Eagles,De Graafschap,1,1
1973-1974,1974-04-28,NEC,Feyenoord,0,2
1973-1974,1974-04-28,Roda JC,FC Utrecht,5,2
1973-1974,1974-04-28,Sparta,MVV,1,1
1973-1974,1974-04-28,Telstar,Ajax,2,1
1973-1974,1974-05-05,Ajax,FC Den Haag,3,1
1973-1974,1974-05-05,AZ `67,NEC,0,0
1973-1974,1974-05-05,De Graafschap,Sparta,1,1
1973-1974,1974-05-05,FC Utrecht,FC Groningen,2,3
1973-1974,1974-05-05,Feyenoord,FC Twente `65,3,2
1973-1974,1974-05-05,Go Ahead Eagles,NAC,1,1
1973-1974,1974-05-05,Haarlem,FC Amsterdam,2,0
1973-1974,1974-05-05,MVV,Telstar,0,2
1973-1974,1974-05-05,PSV,Roda JC,3,0
1973-1974,1974-05-12,FC Amsterdam,FC Utrecht,2,1
1973-1974,1974-05-12,FC Den Haag,MVV,1,1
1973-1974,1974-05-12,FC Groningen,PSV,1,2
1973-1974,1974-05-12,FC Twente `65,AZ `67,2,5
1973-1974,1974-05-12,NAC,Feyenoord,1,0
1973-1974,1974-05-12,NEC,Haarlem,3,0
1973-1974,1974-05-12,Roda JC,Ajax,0,0
1973-1974,1974-05-12,Sparta,Go Ahead Eagles,1,3
1973-1974,1974-05-12,Telstar,De Graafschap,5,3
1974-1975,1974-09-01,Ajax,Excelsior,2,0
1974-1975,1974-09-01,AZ `67,FC Wageningen,1,0
1974-1975,1974-09-01,De Graafschap,NAC,1,0
1974-1975,1974-09-01,FC Den Haag,Sparta,0,0
1974-1975,1974-09-01,FC Utrecht,FC Twente `65,0,0
1974-1975,1974-09-01,Feyenoord,Roda JC,4,0
1974-1975,1974-09-01,Go Ahead Eagles,FC Amsterdam,1,1
1974-1975,1974-09-01,Haarlem,Telstar,1,1
1974-1975,1974-09-01,MVV,PSV,1,3
1974-1975,1974-09-08,Excelsior,FC Den Haag,0,0
1974-1975,1974-09-08,FC Amsterdam,FC Utrecht,1,1
1974-1975,1974-09-08,FC Twente `65,Haarlem,4,0
1974-1975,1974-09-08,FC Wageningen,De Graafschap,1,1
1974-1975,1974-09-08,NAC,Ajax,1,4
1974-1975,1974-09-08,PSV,Feyenoord,3,2
1974-1975,1974-09-08,Roda JC,Go Ahead Eagles,2,1
1974-1975,1974-09-08,Telstar,AZ `67,1,0
1974-1975,1974-09-15,Ajax,FC Wageningen,3,1
1974-1975,1974-09-15,AZ `67,FC Twente `65,1,1
1974-1975,1974-09-15,De Graafschap,Telstar,1,1
1974-1975,1974-09-15,FC Den Haag,NAC,4,1
1974-1975,1974-09-15,FC Utrecht,Roda JC,1,3
1974-1975,1974-09-15,Go Ahead Eagles,Feyenoord,0,6
1974-1975,1974-09-15,Haarlem,FC Amsterdam,1,3
1974-1975,1974-09-15,MVV,Excelsior,0,1
1974-1975,1974-09-15,Sparta,PSV,1,2
1974-1975,1974-09-22,Excelsior,Sparta,2,2
1974-1975,1974-09-22,FC Twente `65,De Graafschap,2,0
1974-1975,1974-09-22,FC Wageningen,FC Den Haag,1,1
1974-1975,1974-09-22,Feyenoord,FC Utrecht,5,0
1974-1975,1974-09-22,NAC,MVV,1,1
1974-1975,1974-09-22,PSV,Go Ahead Eagles,5,1
1974-1975,1974-09-22,Roda JC,Haarlem,4,2
1974-1975,1974-09-22,Telstar,Ajax,1,4
1974-1975,1974-09-29,Ajax,FC Twente `65,1,0
1974-1975,1974-09-29,AZ `67,Roda JC,0,0
1974-1975,1974-09-29,De Graafschap,FC Amsterdam,2,1
1974-1975,1974-09-29,Excelsior,PSV,1,3
1974-1975,1974-09-29,FC Den Haag,Telstar,2,0
1974-1975,1974-09-29,FC Utrecht,Go Ahead Eagles,3,0
1974-1975,1974-09-29,Haarlem,Feyenoord,0,3
1974-1975,1974-09-29,MVV,FC Wageningen,2,1
1974-1975,1974-09-29,Sparta,NAC,4,2
1974-1975,1974-10-06,FC Amsterdam,AZ `67,0,0
1974-1975,1974-10-06,Sparta,MVV,2,2
1974-1975,1974-10-13,FC Amsterdam,Ajax,1,2
1974-1975,1974-10-13,FC Twente `65,FC Den Haag,3,0
1974-1975,1974-10-13,FC Wageningen,Sparta,1,0
1974-1975,1974-10-13,Feyenoord,AZ `67,2,1
1974-1975,1974-10-13,Go Ahead Eagles,Haarlem,2,0
1974-1975,1974-10-13,NAC,Excelsior,1,1
1974-1975,1974-10-13,PSV,FC Utrecht,6,0
1974-1975,1974-10-13,Roda JC,De Graafschap,2,0
1974-1975,1974-10-13,Telstar,MVV,2,0
1974-1975,1974-10-20,Ajax,Roda JC,6,1
1974-1975,1974-10-20,AZ `67,Go Ahead Eagles,1,0
1974-1975,1974-10-20,De Graafschap,Feyenoord,1,6
1974-1975,1974-10-20,Excelsior,FC Wageningen,1,0
1974-1975,1974-10-20,FC Den Haag,FC Amsterdam,2,1
1974-1975,1974-10-20,Haarlem,FC Utrecht,1,0
1974-1975,1974-10-20,MVV,FC Twente `65,2,4
1974-1975,1974-10-20,NAC,PSV,0,4
1974-1975,1974-10-20,Sparta,Telstar,4,1
1974-1975,1974-10-27,FC Amsterdam,MVV,0,0
1974-1975,1974-10-27,FC Twente `65,Sparta,1,0
1974-1975,1974-10-27,FC Utrecht,AZ `67,2,1
1974-1975,1974-10-27,FC Wageningen,NAC,1,1
1974-1975,1974-10-27,Feyenoord,Ajax,2,1
1974-1975,1974-10-27,Go Ahead Eagles,De Graafschap,2,0
1974-1975,1974-10-27,PSV,Haarlem,3,2
1974-1975,1974-10-27,Roda JC,FC Den Haag,3,1
1974-1975,1974-10-27,Telstar,Excelsior,1,1
1974-1975,1974-11-03,Ajax,Go Ahead Eagles,3,0
1974-1975,1974-11-03,AZ `67,Haarlem,2,0
1974-1975,1974-11-03,De Graafschap,FC Utrecht,2,1
1974-1975,1974-11-03,Excelsior,FC Twente `65,3,1
1974-1975,1974-11-03,FC Den Haag,Feyenoord,3,3
1974-1975,1974-11-03,FC Wageningen,PSV,1,1
1974-1975,1974-11-03,MVV,Roda JC,3,2
1974-1975,1974-11-03,NAC,Telstar,1,1
1974-1975,1974-11-03,Sparta,FC Amsterdam,2,1
1974-1975,1974-11-10,FC Amsterdam,Excelsior,1,1
1974-1975,1974-11-10,FC Twente `65,NAC,2,0
1974-1975,1974-11-10,FC Utrecht,Ajax,1,1
1974-1975,1974-11-10,Feyenoord,MVV,2,1
1974-1975,1974-11-10,Go Ahead Eagles,FC Den Haag,3,1
1974-1975,1974-11-10,Haarlem,De Graafschap,0,4
1974-1975,1974-11-10,PSV,AZ `67,4,0
1974-1975,1974-11-10,Roda JC,Sparta,1,1
1974-1975,1974-11-10,Telstar,FC Wageningen,3,1
1974-1975,1974-11-17,Ajax,Haarlem,4,0
1974-1975,1974-11-17,De Graafschap,AZ `67,0,5
1974-1975,1974-11-17,Excelsior,Roda JC,2,1
1974-1975,1974-11-17,FC Den Haag,FC Utrecht,1,2
1974-1975,1974-11-17,FC Wageningen,FC Twente `65,2,1
1974-1975,1974-11-17,MVV,Go Ahead Eagles,1,0
1974-1975,1974-11-17,NAC,FC Amsterdam,3,0
1974-1975,1974-11-17,Sparta,Feyenoord,0,0
1974-1975,1974-11-17,Telstar,PSV,2,2
1974-1975,1974-12-01,AZ `67,Ajax,3,0
1974-1975,1974-12-01,FC Amsterdam,FC Wageningen,1,1
1974-1975,1974-12-01,FC Twente `65,Telstar,1,1
1974-1975,1974-12-01,FC Utrecht,MVV,4,2
1974-1975,1974-12-01,Feyenoord,Excelsior,2,1
1974-1975,1974-12-01,Go Ahead Eagles,Sparta,1,1
1974-1975,1974-12-01,Haarlem,FC Den Haag,1,1
1974-1975,1974-12-01,PSV,De Graafschap,3,0
1974-1975,1974-12-01,Roda JC,NAC,1,0
1974-1975,1974-12-08,Excelsior,Go Ahead Eagles,1,2
1974-1975,1974-12-08,FC Den Haag,AZ `67,0,0
1974-1975,1974-12-08,FC Wageningen,Roda JC,2,2
1974-1975,1974-12-08,MVV,Haarlem,2,2
1974-1975,1974-12-08,NAC,Feyenoord,1,5
1974-1975,1974-12-08,Sparta,FC Utrecht,1,0
1974-1975,1974-12-08,Telstar,FC Amsterdam,0,2
1974-1975,1974-12-15,AZ `67,MVV,2,0
1974-1975,1974-12-15,De Graafschap,FC Den Haag,1,0
1974-1975,1974-12-15,FC Amsterdam,FC Twente `65,0,3
1974-1975,1974-12-15,FC Utrecht,Excelsior,3,1
1974-1975,1974-12-15,Feyenoord,FC Wageningen,8,2
1974-1975,1974-12-15,Go Ahead Eagles,NAC,2,0
1974-1975,1974-12-15,Haarlem,Sparta,1,3
1974-1975,1974-12-15,PSV,Ajax,1,1
1974-1975,1974-12-15,Roda JC,Telstar,0,1
1974-1975,1974-12-22,Excelsior,Haarlem,1,1
1974-1975,1974-12-22,FC Amsterdam,PSV,1,2
1974-1975,1974-12-22,FC Den Haag,Ajax,1,0
1974-1975,1974-12-22,FC Twente `65,Roda JC,3,0
1974-1975,1974-12-22,FC Wageningen,Go Ahead Eagles,1,0
1974-1975,1974-12-22,MVV,De Graafschap,1,0
1974-1975,1974-12-22,NAC,FC Utrecht,3,1
1974-1975,1974-12-22,Sparta,AZ `67,0,0
1974-1975,1974-12-22,Telstar,Feyenoord,0,4
1974-1975,1975-01-05,Ajax,MVV,4,2
1974-1975,1975-01-05,AZ `67,Excelsior,1,1
1974-1975,1975-01-05,De Graafschap,Sparta,0,0
1974-1975,1975-01-05,FC Den Haag,PSV,1,1
1974-1975,1975-01-05,FC Utrecht,FC Wageningen,7,1
1974-1975,1975-01-05,Feyenoord,FC Twente `65,4,0
1974-1975,1975-01-05,Go Ahead Eagles,Telstar,0,0
1974-1975,1975-01-05,Haarlem,NAC,1,1
1974-1975,1975-01-05,Roda JC,FC Amsterdam,1,1
1974-1975,1975-01-12,Excelsior,Ajax,1,2
1974-1975,1975-01-12,FC Amsterdam,Go Ahead Eagles,2,0
1974-1975,1975-01-12,FC Twente `65,FC Utrecht,4,1
1974-1975,1975-01-12,FC Wageningen,AZ `67,2,6
1974-1975,1975-01-12,NAC,De Graafschap,1,1
1974-1975,1975-01-12,PSV,MVV,1,1
1974-1975,1975-01-12,Roda JC,Feyenoord,1,0
1974-1975,1975-01-12,Sparta,FC Den Haag,0,0
1974-1975,1975-01-12,Telstar,Haarlem,2,2
1974-1975,1975-01-19,Ajax,NAC,5,1
1974-1975,1975-01-19,AZ `67,Telstar,2,1
1974-1975,1975-01-19,De Graafschap,FC Wageningen,1,0
1974-1975,1975-01-19,FC Den Haag,Excelsior,1,0
1974-1975,1975-01-19,FC Utrecht,FC Amsterdam,2,2
1974-1975,1975-01-19,Feyenoord,PSV,2,3
1974-1975,1975-01-19,Go Ahead Eagles,Roda JC,2,2
1974-1975,1975-01-19,Haarlem,FC Twente `65,1,0
1974-1975,1975-01-19,MVV,Sparta,1,1
1974-1975,1975-01-26,Excelsior,MVV,0,0
1974-1975,1975-01-26,FC Amsterdam,Haarlem,2,1
1974-1975,1975-01-26,FC Twente `65,AZ `67,1,1
1974-1975,1975-01-26,FC Wageningen,Ajax,0,2
1974-1975,1975-01-26,Feyenoord,Go Ahead Eagles,3,1
1974-1975,1975-01-26,NAC,FC Den Haag,2,2
1974-1975,1975-01-26,PSV,Sparta,1,0
1974-1975,1975-01-26,Roda JC,FC Utrecht,3,0
1974-1975,1975-01-26,Telstar,De Graafschap,2,1
1974-1975,1975-01-29,Ajax,De Graafschap,3,1
1974-1975,1975-01-29,FC Twente `65,PSV,2,1
1974-1975,1975-02-02,Ajax,Telstar,1,1
1974-1975,1975-02-02,AZ `67,FC Amsterdam,2,0
1974-1975,1975-02-02,De Graafschap,FC Twente `65,0,1
1974-1975,1975-02-02,FC Den Haag,FC Wageningen,2,0
1974-1975,1975-02-02,FC Utrecht,Feyenoord,0,0
1974-1975,1975-02-02,Go Ahead Eagles,PSV,0,0
1974-1975,1975-02-02,Haarlem,Roda JC,4,2
1974-1975,1975-02-02,MVV,NAC,0,1
1974-1975,1975-02-02,Sparta,Excelsior,3,1
1974-1975,1975-02-16,FC Amsterdam,De Graafschap,6,0
1974-1975,1975-02-16,FC Twente `65,Ajax,1,3
1974-1975,1975-02-16,FC Wageningen,MVV,2,0
1974-1975,1975-02-16,Feyenoord,Haarlem,4,0
1974-1975,1975-02-16,Go Ahead Eagles,FC Utrecht,1,1
1974-1975,1975-02-16,NAC,Sparta,0,2
1974-1975,1975-02-16,PSV,Excelsior,7,0
1974-1975,1975-02-16,Roda JC,AZ `67,2,2
1974-1975,1975-02-16,Telstar,FC Den Haag,1,0
1974-1975,1975-02-23,Ajax,FC Amsterdam,2,4
1974-1975,1975-02-23,AZ `67,Feyenoord,1,1
1974-1975,1975-02-23,De Graafschap,Roda JC,1,1
1974-1975,1975-02-23,Excelsior,NAC,3,0
1974-1975,1975-02-23,FC Den Haag,FC Twente `65,1,3
1974-1975,1975-02-23,FC Utrecht,PSV,0,0
1974-1975,1975-02-23,Haarlem,Go Ahead Eagles,2,0
1974-1975,1975-02-23,MVV,Telstar,2,2
1974-1975,1975-02-23,Sparta,FC Wageningen,3,3
1974-1975,1975-03-02,FC Amsterdam,FC Den Haag,1,1
1974-1975,1975-03-02,FC Twente `65,MVV,2,2
1974-1975,1975-03-02,FC Utrecht,Haarlem,3,0
1974-1975,1975-03-02,FC Wageningen,Excelsior,2,2
1974-1975,1975-03-02,Feyenoord,De Graafschap,2,0
1974-1975,1975-03-02,Go Ahead Eagles,AZ `67,1,0
1974-1975,1975-03-02,PSV,NAC,1,0
1974-1975,1975-03-02,Roda JC,Ajax,0,1
1974-1975,1975-03-02,Telstar,Sparta,1,1
1974-1975,1975-03-09,Ajax,Feyenoord,0,1
1974-1975,1975-03-09,AZ `67,FC Utrecht,5,0
1974-1975,1975-03-09,De Graafschap,Go Ahead Eagles,3,0
1974-1975,1975-03-09,Excelsior,Telstar,0,0
1974-1975,1975-03-09,FC Den Haag,Roda JC,1,1
1974-1975,1975-03-09,Haarlem,PSV,1,1
1974-1975,1975-03-09,MVV,FC Amsterdam,3,1
1974-1975,1975-03-09,NAC,FC Wageningen,0,0
1974-1975,1975-03-09,Sparta,FC Twente `65,1,1
1974-1975,1975-03-16,FC Amsterdam,Sparta,5,2
1974-1975,1975-03-16,FC Twente `65,Excelsior,2,0
1974-1975,1975-03-16,FC Utrecht,De Graafschap,3,2
1974-1975,1975-03-16,Feyenoord,FC Den Haag,3,0
1974-1975,1975-03-16,Go Ahead Eagles,Ajax,2,2
1974-1975,1975-03-16,Haarlem,AZ `67,0,2
1974-1975,1975-03-16,PSV,FC Wageningen,2,0
1974-1975,1975-03-16,Roda JC,MVV,0,3
1974-1975,1975-03-16,Telstar,NAC,0,0
1974-1975,1975-03-23,Ajax,FC Utrecht,3,0
1974-1975,1975-03-23,AZ `67,PSV,2,1
1974-1975,1975-03-23,De Graafschap,Haarlem,2,2
1974-1975,1975-03-23,Excelsior,FC Amsterdam,1,0
1974-1975,1975-03-23,FC Den Haag,Go Ahead Eagles,0,0
1974-1975,1975-03-23,FC Wageningen,Telstar,4,2
1974-1975,1975-03-23,MVV,Feyenoord,2,2
1974-1975,1975-03-23,NAC,FC Twente `65,1,2
1974-1975,1975-03-23,Sparta,Roda JC,1,1
1974-1975,1975-03-29,Excelsior,De Graafschap,1,0
1974-1975,1975-03-29,FC Amsterdam,Feyenoord,0,3
1974-1975,1975-03-29,FC Twente `65,Go Ahead Eagles,3,0
1974-1975,1975-03-29,FC Wageningen,Haarlem,2,0
1974-1975,1975-03-29,MVV,FC Den Haag,1,1
1974-1975,1975-03-29,NAC,AZ `67,1,2
1974-1975,1975-03-29,PSV,Roda JC,2,0
1974-1975,1975-03-29,Sparta,Ajax,1,1
1974-1975,1975-03-29,Telstar,FC Utrecht,4,0
1974-1975,1975-03-31,Ajax,Sparta,2,0
1974-1975,1975-03-31,AZ `67,NAC,2,4
1974-1975,1975-03-31,De Graafschap,Excelsior,2,0
1974-1975,1975-03-31,FC Den Haag,MVV,2,1
1974-1975,1975-03-31,FC Utrecht,Telstar,0,2
1974-1975,1975-03-31,Feyenoord,FC Amsterdam,1,2
1974-1975,1975-03-31,Go Ahead Eagles,FC Twente `65,1,1
1974-1975,1975-03-31,Haarlem,FC Wageningen,3,2
1974-1975,1975-03-31,Roda JC,PSV,0,4
1974-1975,1975-04-06,AZ `67,De Graafschap,3,0
1974-1975,1975-04-06,FC Amsterdam,NAC,3,0
1974-1975,1975-04-06,FC Twente `65,FC Wageningen,3,0
1974-1975,1975-04-06,FC Utrecht,FC Den Haag,1,1
1974-1975,1975-04-06,Feyenoord,Sparta,1,1
1974-1975,1975-04-06,Go Ahead Eagles,MVV,2,2
1974-1975,1975-04-06,Haarlem,Ajax,1,4
1974-1975,1975-04-06,PSV,Telstar,1,0
1974-1975,1975-04-06,Roda JC,Excelsior,4,2
1974-1975,1975-04-13,Ajax,AZ `67,4,0
1974-1975,1975-04-13,De Graafschap,PSV,1,1
1974-1975,1975-04-13,Excelsior,Feyenoord,0,1
1974-1975,1975-04-13,FC Den Haag,Haarlem,1,1
1974-1975,1975-04-13,FC Wageningen,FC Amsterdam,1,3
1974-1975,1975-04-13,MVV,FC Utrecht,1,1
1974-1975,1975-04-13,NAC,Roda JC,2,1
1974-1975,1975-04-13,Sparta,Go Ahead Eagles,1,4
1974-1975,1975-04-13,Telstar,FC Twente `65,1,0
1974-1975,1975-04-20,AZ `67,FC Den Haag,0,0
1974-1975,1975-04-20,De Graafschap,Ajax,0,0
1974-1975,1975-04-20,FC Amsterdam,Telstar,0,0
1974-1975,1975-04-20,FC Utrecht,Sparta,0,1
1974-1975,1975-04-20,Feyenoord,NAC,3,1
1974-1975,1975-04-20,Go Ahead Eagles,Excelsior,4,0
1974-1975,1975-04-20,Haarlem,MVV,3,1
1974-1975,1975-04-20,PSV,FC Twente `65,3,0
1974-1975,1975-04-20,Roda JC,FC Wageningen,3,1
1974-1975,1975-04-27,Ajax,PSV,2,4
1974-1975,1975-04-27,Excelsior,FC Utrecht,2,2
1974-1975,1975-04-27,FC Den Haag,De Graafschap,0,1
1974-1975,1975-04-27,FC Twente `65,FC Amsterdam,2,1
1974-1975,1975-04-27,FC Wageningen,Feyenoord,1,4
1974-1975,1975-04-27,MVV,AZ `67,2,1
1974-1975,1975-04-27,NAC,Go Ahead Eagles,4,1
1974-1975,1975-04-27,Sparta,Haarlem,0,0
1974-1975,1975-04-27,Telstar,Roda JC,4,2
1974-1975,1975-05-04,Ajax,FC Den Haag,3,1
1974-1975,1975-05-04,AZ `67,Sparta,0,0
1974-1975,1975-05-04,De Graafschap,MVV,3,1
1974-1975,1975-05-04,FC Utrecht,NAC,0,1
1974-1975,1975-05-04,Feyenoord,Telstar,4,1
1974-1975,1975-05-04,Go Ahead Eagles,FC Wageningen,5,1
1974-1975,1975-05-04,Haarlem,Excelsior,1,0
1974-1975,1975-05-04,PSV,FC Amsterdam,3,0
1974-1975,1975-05-04,Roda JC,FC Twente `65,2,1
1974-1975,1975-05-11,Excelsior,AZ `67,1,1
1974-1975,1975-05-11,FC Amsterdam,Roda JC,2,2
1974-1975,1975-05-11,FC Twente `65,Feyenoord,1,1
1974-1975,1975-05-11,FC Wageningen,FC Utrecht,1,0
1974-1975,1975-05-11,MVV,Ajax,0,0
1974-1975,1975-05-11,NAC,Haarlem,3,1
1974-1975,1975-05-11,PSV,FC Den Haag,3,1
1974-1975,1975-05-11,Sparta,De Graafschap,4,0
1974-1975,1975-05-11,Telstar,Go Ahead Eagles,2,1
1975-1976,1975-08-17,AZ `67,Go Ahead Eagles,0,0
1975-1976,1975-08-17,De Graafschap,NEC,2,1
1975-1976,1975-08-17,Excelsior,Telstar,1,5
1975-1976,1975-08-17,FC Amsterdam,NAC,2,1
1975-1976,1975-08-17,FC Den Haag,FC Twente `65,0,1
1975-1976,1975-08-17,FC Utrecht,Feyenoord,1,2
1975-1976,1975-08-17,PSV,MVV,5,1
1975-1976,1975-08-17,Roda JC,Eindhoven,1,2
1975-1976,1975-08-17,Sparta,Ajax,1,1
1975-1976,1975-08-24,Ajax,Excelsior,2,0
1975-1976,1975-08-24,Eindhoven,PSV,1,5
1975-1976,1975-08-24,FC Twente `65,Roda JC,3,2
1975-1976,1975-08-24,Feyenoord,FC Amsterdam,4,0
1975-1976,1975-08-24,Go Ahead Eagles,FC Utrecht,2,2
1975-1976,1975-08-24,MVV,De Graafschap,2,2
1975-1976,1975-08-24,NEC,AZ `67,1,0
1975-1976,1975-08-24,Telstar,FC Den Haag,2,2
1975-1976,1975-08-31,AZ `67,MVV,2,0
1975-1976,1975-08-31,De Graafschap,Eindhoven,1,1
1975-1976,1975-08-31,Excelsior,Sparta,0,2
1975-1976,1975-08-31,FC Amsterdam,Go Ahead Eagles,6,2
1975-1976,1975-08-31,FC Den Haag,Ajax,1,3
1975-1976,1975-08-31,FC Utrecht,NEC,0,3
1975-1976,1975-08-31,Feyenoord,NAC,4,0
1975-1976,1975-08-31,PSV,FC Twente `65,3,0
1975-1976,1975-08-31,Roda JC,Telstar,2,2
1975-1976,1975-09-07,De Graafschap,Telstar,5,3
1975-1976,1975-09-07,NAC,Sparta,1,1
1975-1976,1975-09-14,Ajax,Roda JC,2,1
1975-1976,1975-09-14,Eindhoven,AZ `67,1,3
1975-1976,1975-09-14,FC Twente `65,De Graafschap,8,0
1975-1976,1975-09-14,Go Ahead Eagles,Feyenoord,0,1
1975-1976,1975-09-14,MVV,FC Utrecht,3,1
1975-1976,1975-09-14,NAC,Excelsior,0,0
1975-1976,1975-09-14,NEC,FC Amsterdam,1,1
1975-1976,1975-09-14,Sparta,FC Den Haag,2,2
1975-1976,1975-09-14,Telstar,PSV,0,0
1975-1976,1975-09-21,AZ `67,FC Twente `65,1,2
1975-1976,1975-09-21,FC Amsterdam,MVV,0,0
1975-1976,1975-09-21,FC Den Haag,Excelsior,1,0
1975-1976,1975-09-21,FC Utrecht,Eindhoven,2,2
1975-1976,1975-09-21,Feyenoord,NEC,3,3
1975-1976,1975-09-21,Go Ahead Eagles,NAC,0,0
1975-1976,1975-09-21,PSV,Ajax,6,2
1975-1976,1975-09-21,Roda JC,Sparta,1,0
1975-1976,1975-09-28,Ajax,De Graafschap,3,0
1975-1976,1975-09-28,Eindhoven,FC Amsterdam,2,1
1975-1976,1975-09-28,Excelsior,Roda JC,1,2
1975-1976,1975-09-28,FC Twente `65,FC Utrecht,2,0
1975-1976,1975-09-28,MVV,Feyenoord,1,1
1975-1976,1975-09-28,NAC,FC Den Haag,2,0
1975-1976,1975-09-28,NEC,Go Ahead Eagles,3,3
1975-1976,1975-09-28,Sparta,PSV,1,0
1975-1976,1975-09-28,Telstar,AZ `67,1,1
1975-1976,1975-10-05,AZ `67,Ajax,1,1
1975-1976,1975-10-05,De Graafschap,Sparta,2,2
1975-1976,1975-10-05,FC Amsterdam,FC Twente `65,1,1
1975-1976,1975-10-05,FC Utrecht,Telstar,2,4
1975-1976,1975-10-05,Feyenoord,Eindhoven,5,0
1975-1976,1975-10-05,Go Ahead Eagles,MVV,2,3
1975-1976,1975-10-05,NEC,NAC,0,0
1975-1976,1975-10-05,PSV,Excelsior,6,0
1975-1976,1975-10-05,Roda JC,FC Den Haag,1,0
1975-1976,1975-10-19,Ajax,FC Utrecht,5,1
1975-1976,1975-10-19,Eindhoven,Go Ahead Eagles,4,2
1975-1976,1975-10-19,Excelsior,De Graafschap,3,0
