Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A
N1,29/09/2024,11:15,Zwolle,Almere City,1.0,0.0,H,0.0,0.0,D,11.0,15.0,4.0,5.0,6.0,8.0,10.0,13.0,2.0,4.0,0.0,0.0,2.0,3.6,3.6
N1,29/09/2024,13:30,Groningen,Go Ahead Eagles,0.0,1.0,A,0.0,0.0,D,7.0,16.0,1.0,3.0,7.0,7.0,11.0,11.0,2.0,3.0,0.0,0.0,2.2,3.6,3.1
N1,29/09/2024,13:30,Twente,NAC Breda,1.0,0.0,H,0.0,0.0,D,18.0,7.0,5.0,2.0,4.0,3.0,13.0,12.0,2.0,2.0,0.0,0.0,1.2,8.5,9.5
N1,29/09/2024,15:45,Waalwijk,Ajax,0.0,2.0,A,0.0,0.0,D,3.0,23.0,1.0,4.0,2.0,12.0,9.0,6.0,2.0,1.0,0.0,0.0,6.5,5.75,1.38
N1,29/09/2024,19:00,AZ Alkmaar,Utrecht,1.0,2.0,A,1.0,1.0,D,22.0,8.0,6.0,3.0,8.0,1.0,9.0,10.0,1.0,2.0,0.0,0.0,1.62,4.1,5.25
N1,04/10/2024,19:00,Almere City,Willem II,0.0,1.0,A,0.0,0.0,D,22.0,4.0,7.0,1.0,6.0,5.0,9.0,13.0,1.0,3.0,0.0,0.0,2.7,3.2,2.75
N1,05/10/2024,17:45,NAC Breda,Nijmegen,1.0,0.0,H,0.0,0.0,D,18.0,12.0,6.0,2.0,8.0,3.0,12.0,8.0,2.0,1.0,1.0,0.0,2.88,3.4,2.5
N1,05/10/2024,19:00,PSV Eindhoven,Sparta Rotterdam,2.0,1.0,H,2.0,1.0,H,16.0,14.0,6.0,4.0,3.0,8.0,3.0,5.0,0.0,2.0,1.0,0.0,1.17,8.0,13.0
N1,05/10/2024,20:00,Utrecht,Waalwijk,3.0,2.0,H,1.0,1.0,D,23.0,3.0,8.0,2.0,7.0,0.0,8.0,11.0,1.0,0.0,0.0,1.0,1.38,4.75,8.0
N1,06/10/2024,11:15,Go Ahead Eagles,Heracles,4.0,1.0,H,0.0,1.0,A,18.0,7.0,9.0,2.0,3.0,5.0,13.0,8.0,1.0,2.0,0.0,0.0,1.62,4.2,5.0
N1,06/10/2024,13:30,Feyenoord,Twente,2.0,1.0,H,2.0,0.0,H,8.0,7.0,2.0,5.0,5.0,6.0,17.0,11.0,2.0,2.0,0.0,0.0,1.6,4.33,5.25
N1,06/10/2024,13:30,Heerenveen,Zwolle,1.0,1.0,D,1.0,1.0,D,15.0,6.0,4.0,2.0,8.0,2.0,10.0,14.0,2.0,2.0,0.0,0.0,1.65,4.1,5.0
N1,06/10/2024,15:45,Ajax,Groningen,3.0,1.0,H,1.0,0.0,H,17.0,12.0,8.0,4.0,5.0,2.0,8.0,10.0,3.0,2.0,0.0,0.0,1.36,5.25,8.0
N1,06/10/2024,19:00,For Sittard,AZ Alkmaar,1.0,0.0,H,0.0,0.0,D,9.0,10.0,3.0,3.0,2.0,5.0,11.0,9.0,4.0,2.0,0.0,0.0,6.25,3.8,1.57
N1,19/10/2024,15:30,Sparta Rotterdam,Almere City,2.0,2.0,D,0.0,2.0,A,19.0,9.0,7.0,3.0,5.0,3.0,6.0,12.0,2.0,3.0,1.0,0.0,1.55,4.33,5.5
N1,19/10/2024,17:45,AZ Alkmaar,PSV Eindhoven,1.0,2.0,A,0.0,2.0,A,5.0,17.0,2.0,5.0,0.0,3.0,5.0,11.0,0.0,0.0,1.0,0.0,4.33,4.0,1.75
N1,19/10/2024,19:00,Nijmegen,Heerenveen,3.0,0.0,H,1.0,0.0,H,12.0,8.0,5.0,2.0,4.0,4.0,17.0,17.0,0.0,3.0,0.0,0.0,1.91,3.75,3.8
N1,19/10/2024,19:00,Waalwijk,Twente,2.0,2.0,D,1.0,1.0,D,9.0,16.0,4.0,7.0,3.0,10.0,6.0,9.0,1.0,2.0,0.0,0.0,6.5,5.5,1.4
N1,19/10/2024,20:00,Go Ahead Eagles,Feyenoord,1.0,5.0,A,0.0,3.0,A,8.0,23.0,4.0,7.0,2.0,6.0,10.0,6.0,1.0,2.0,0.0,0.0,4.5,4.5,1.65
N1,20/10/2024,11:15,Willem II,For Sittard,0.0,0.0,D,0.0,0.0,D,5.0,22.0,0.0,4.0,2.0,10.0,11.0,11.0,1.0,1.0,0.0,0.0,2.25,3.4,3.2
N1,20/10/2024,13:30,Groningen,Utrecht,0.0,1.0,A,0.0,1.0,A,15.0,10.0,3.0,3.0,4.0,5.0,9.0,17.0,2.0,4.0,0.0,0.0,3.6,3.7,2.0
N1,20/10/2024,13:30,Heracles,Ajax,3.0,4.0,A,2.0,2.0,D,14.0,18.0,6.0,6.0,3.0,0.0,11.0,11.0,2.0,4.0,1.0,0.0,6.25,5.0,1.45
N1,20/10/2024,15:45,Zwolle,NAC Breda,1.0,2.0,A,0.0,0.0,D,10.0,12.0,3.0,5.0,7.0,4.0,7.0,6.0,1.0,2.0,0.0,0.0,1.91,3.5,4.1
N1,25/10/2024,19:00,Almere City,Nijmegen,1.0,0.0,H,0.0,0.0,D,11.0,15.0,3.0,4.0,4.0,8.0,16.0,13.0,1.0,1.0,0.0,0.0,2.9,3.2,2.5
N1,26/10/2024,15:30,For Sittard,Groningen,1.0,0.0,H,0.0,0.0,D,9.0,8.0,3.0,3.0,6.0,3.0,15.0,12.0,1.0,3.0,0.0,0.0,2.05,3.5,3.5
N1,26/10/2024,17:45,PSV Eindhoven,Zwolle,6.0,0.0,H,2.0,0.0,H,21.0,4.0,9.0,2.0,9.0,4.0,7.0,9.0,0.0,0.0,0.0,1.0,1.09,12.0,19.0
N1,26/10/2024,19:00,NAC Breda,Waalwijk,4.0,1.0,H,2.0,1.0,H,21.0,8.0,11.0,2.0,6.0,2.0,7.0,19.0,2.0,3.0,0.0,1.0,1.85,4.1,3.6
N1,26/10/2024,20:00,Heerenveen,Sparta Rotterdam,2.0,0.0,H,1.0,0.0,H,13.0,8.0,6.0,4.0,6.0,4.0,14.0,9.0,4.0,1.0,0.0,0.0,2.55,3.4,2.7
N1,27/10/2024,11:15,Utrecht,Feyenoord,0.0,2.0,A,0.0,1.0,A,4.0,13.0,1.0,7.0,2.0,8.0,13.0,8.0,3.0,2.0,0.0,0.0,4.1,3.9,1.8
N1,27/10/2024,13:30,Twente,Heracles,5.0,0.0,H,2.0,0.0,H,21.0,4.0,9.0,1.0,5.0,2.0,11.0,12.0,0.0,0.0,0.0,0.0,1.22,7.0,11.0
N1,27/10/2024,15:45,Ajax,Willem II,1.0,0.0,H,1.0,0.0,H,11.0,3.0,7.0,2.0,4.0,1.0,10.0,11.0,1.0,0.0,0.0,0.0,1.29,6.0,9.5
