season,date,home_team,away_team,home_score,away_score
1969-1970,1970-05-24,DWS,Holland Sport,2,0
1969-1970,1970-05-24,Feyenoord,FC Twente,5,1
1969-1970,1970-05-24,Go Ahead Eagles,Sparta Rotterdam,2,3
1969-1970,1970-05-24,GVAV,DOS,0,1
1969-1970,1970-05-24,MVV,NEC,1,1
1969-1970,1970-05-24,NAC Breda,PSV,2,4
1969-1970,1970-05-24,SVV,AZ,3,2
1969-1970,1970-05-24,Telstar,Haarlem,2,3
1970-1971,1970-08-19,Feyenoord,FC Utrecht,4,1
1970-1971,1970-08-23,ADO Den Haag,NAC Breda,3,0
1970-1971,1970-08-23,DWS,PSV,0,1
1970-1971,1970-08-23,Excelsior,AZ,0,0
1970-1971,1970-08-23,Go Ahead Eagles,Haarlem,1,1
1970-1971,1970-08-23,MVV,Holland Sport,0,1
1970-1971,1970-08-23,NEC,Ajax,0,0
1970-1971,1970-08-23,Telstar,Sparta Rotterdam,1,4
1970-1971,1970-08-23,FC Volendam,FC Twente,0,1
1970-1971,1970-08-30,Ajax,MVV,2,0
1970-1971,1970-08-30,AZ,Feyenoord,0,4
1970-1971,1970-08-30,FC Twente,Telstar,1,1
1970-1971,1970-08-30,FC Utrecht,Go Ahead Eagles,4,1
1970-1971,1970-08-30,Haarlem,NEC,1,1
1970-1971,1970-08-30,Holland Sport,ADO Den Haag,2,3
1970-1971,1970-08-30,NAC Breda,DWS,1,4
1970-1971,1970-08-30,PSV,FC Volendam,4,2
1970-1971,1970-08-30,Sparta Rotterdam,Excelsior,5,1
1970-1971,1970-09-06,ADO Den Haag,Ajax,1,0
1970-1971,1970-09-06,DWS,Holland Sport,0,0
1970-1971,1970-09-06,Excelsior,FC Twente,1,2
1970-1971,1970-09-06,Go Ahead Eagles,Feyenoord,1,2
1970-1971,1970-09-06,MVV,Haarlem,1,1
1970-1971,1970-09-06,NEC,FC Utrecht,2,1
1970-1971,1970-09-06,Sparta Rotterdam,AZ,2,1
1970-1971,1970-09-06,Telstar,PSV,1,1
1970-1971,1970-09-06,FC Volendam,NAC Breda,2,1
1970-1971,1970-09-13,Ajax,DWS,4,0
1970-1971,1970-09-13,AZ,Go Ahead Eagles,0,1
1970-1971,1970-09-13,FC Twente,Sparta Rotterdam,0,1
1970-1971,1970-09-13,FC Utrecht,MVV,0,0
1970-1971,1970-09-13,Feyenoord,NEC,1,0
1970-1971,1970-09-13,Haarlem,ADO Den Haag,1,2
1970-1971,1970-09-13,Holland Sport,FC Volendam,2,1
1970-1971,1970-09-13,NAC Breda,Telstar,2,0
1970-1971,1970-09-13,PSV,Excelsior,3,0
1970-1971,1970-09-20,ADO Den Haag,FC Utrecht,4,0
1970-1971,1970-09-20,DWS,Haarlem,1,0
1970-1971,1970-09-20,Excelsior,NAC Breda,2,2
1970-1971,1970-09-20,FC Twente,AZ,2,0
1970-1971,1970-09-20,MVV,Feyenoord,1,1
1970-1971,1970-09-20,NEC,Go Ahead Eagles,2,1
1970-1971,1970-09-20,Sparta Rotterdam,PSV,1,0
1970-1971,1970-09-20,Telstar,Holland Sport,1,1
1970-1971,1970-09-20,FC Volendam,Ajax,0,3
1970-1971,1970-09-27,Ajax,Telstar,3,1
1970-1971,1970-09-27,AZ,NEC,1,1
1970-1971,1970-09-27,FC Utrecht,DWS,2,1
1970-1971,1970-09-27,Feyenoord,ADO Den Haag,0,0
1970-1971,1970-09-27,Go Ahead Eagles,MVV,1,0
1970-1971,1970-09-27,Haarlem,FC Volendam,0,1
1970-1971,1970-09-27,Holland Sport,Excelsior,2,3
1970-1971,1970-09-27,NAC Breda,Sparta Rotterdam,0,0
1970-1971,1970-09-27,PSV,FC Twente,0,0
1970-1971,1970-10-04,ADO Den Haag,Go Ahead Eagles,3,0
1970-1971,1970-10-04,DWS,Feyenoord,0,4
1970-1971,1970-10-04,Excelsior,Ajax,1,1
1970-1971,1970-10-04,FC Twente,NAC Breda,3,0
1970-1971,1970-10-04,MVV,NEC,2,0
1970-1971,1970-10-04,PSV,AZ,6,0
1970-1971,1970-10-04,Sparta Rotterdam,Holland Sport,1,0
1970-1971,1970-10-04,Telstar,Haarlem,6,3
1970-1971,1970-10-04,FC Volendam,FC Utrecht,2,3
1970-1971,1970-10-18,Ajax,Sparta Rotterdam,2,2
1970-1971,1970-10-18,AZ,MVV,0,2
1970-1971,1970-10-18,FC Utrecht,Telstar,4,1
1970-1971,1970-10-18,Feyenoord,FC Volendam,3,0
1970-1971,1970-10-18,Go Ahead Eagles,DWS,0,0
1970-1971,1970-10-18,Haarlem,Excelsior,2,0
1970-1971,1970-10-18,Holland Sport,FC Twente,0,0
1970-1971,1970-10-18,NAC Breda,PSV,0,3
1970-1971,1970-10-18,NEC,ADO Den Haag,1,2
1970-1971,1970-10-25,ADO Den Haag,MVV,4,0
1970-1971,1970-10-25,DWS,NEC,2,2
1970-1971,1970-10-25,Excelsior,FC Utrecht,1,2
1970-1971,1970-10-25,FC Twente,Ajax,1,0
1970-1971,1970-10-25,NAC Breda,AZ,5,2
1970-1971,1970-10-25,PSV,Holland Sport,3,0
1970-1971,1970-10-25,Sparta Rotterdam,Haarlem,0,0
1970-1971,1970-10-25,Telstar,Feyenoord,1,0
1970-1971,1970-10-25,FC Volendam,Go Ahead Eagles,0,0
1970-1971,1970-11-01,Ajax,PSV,1,0
1970-1971,1970-11-01,AZ,ADO Den Haag,1,1
1970-1971,1970-11-01,FC Utrecht,Sparta Rotterdam,1,1
1970-1971,1970-11-01,Feyenoord,Excelsior,4,2
1970-1971,1970-11-01,Go Ahead Eagles,Telstar,3,1
1970-1971,1970-11-01,Haarlem,FC Twente,0,4
1970-1971,1970-11-01,Holland Sport,NAC Breda,0,0
1970-1971,1970-11-01,MVV,DWS,2,0
1970-1971,1970-11-01,NEC,FC Volendam,4,0
1970-1971,1970-11-15,DWS,ADO Den Haag,0,1
1970-1971,1970-11-15,Excelsior,Go Ahead Eagles,0,2
1970-1971,1970-11-15,FC Twente,FC Utrecht,2,0
1970-1971,1970-11-15,Holland Sport,AZ,3,1
1970-1971,1970-11-15,NAC Breda,Ajax,0,2
1970-1971,1970-11-15,PSV,Haarlem,1,0
1970-1971,1970-11-15,Sparta Rotterdam,Feyenoord,1,1
1970-1971,1970-11-15,Telstar,NEC,0,1
1970-1971,1970-11-15,FC Volendam,MVV,3,1
1970-1971,1970-11-22,ADO Den Haag,FC Volendam,2,1
1970-1971,1970-11-22,Ajax,Holland Sport,2,1
1970-1971,1970-11-22,AZ,DWS,0,0
1970-1971,1970-11-22,FC Utrecht,PSV,0,3
1970-1971,1970-11-22,Feyenoord,FC Twente,1,1
1970-1971,1970-11-22,Go Ahead Eagles,Sparta Rotterdam,0,1
1970-1971,1970-11-22,Haarlem,NAC Breda,2,2
1970-1971,1970-11-22,MVV,Telstar,1,1
1970-1971,1970-11-22,NEC,Excelsior,5,0
1970-1971,1970-11-29,Ajax,AZ,8,1
1970-1971,1970-11-29,Excelsior,MVV,3,0
1970-1971,1970-11-29,FC Twente,Go Ahead Eagles,2,0
1970-1971,1970-11-29,Holland Sport,Haarlem,1,1
1970-1971,1970-11-29,NAC Breda,FC Utrecht,1,2
1970-1971,1970-11-29,PSV,Feyenoord,2,3
1970-1971,1970-11-29,Sparta Rotterdam,NEC,2,1
1970-1971,1970-11-29,Telstar,ADO Den Haag,0,2
1970-1971,1970-11-29,FC Volendam,DWS,2,2
1970-1971,1970-12-06,ADO Den Haag,Excelsior,0,0
1970-1971,1970-12-06,AZ,FC Volendam,1,1
1970-1971,1970-12-06,DWS,Telstar,0,0
1970-1971,1970-12-06,FC Utrecht,Holland Sport,2,1
1970-1971,1970-12-06,Feyenoord,NAC Breda,3,0
1970-1971,1970-12-06,Go Ahead Eagles,PSV,3,3
1970-1971,1970-12-06,Haarlem,Ajax,0,5
1970-1971,1970-12-06,MVV,Sparta Rotterdam,3,3
1970-1971,1970-12-06,NEC,FC Twente,0,0
1970-1971,1970-12-13,Ajax,FC Utrecht,7,1
1970-1971,1970-12-13,Excelsior,DWS,0,0
1970-1971,1970-12-13,Haarlem,AZ,2,3
1970-1971,1970-12-13,Holland Sport,Feyenoord,2,3
1970-1971,1970-12-13,NAC Breda,Go Ahead Eagles,3,1
1970-1971,1970-12-13,PSV,NEC,2,0
1970-1971,1970-12-13,Sparta Rotterdam,ADO Den Haag,4,2
1970-1971,1970-12-13,Telstar,FC Volendam,0,0
1970-1971,1970-12-20,ADO Den Haag,FC Twente,1,1
1970-1971,1970-12-20,DWS,Sparta Rotterdam,2,1
1970-1971,1970-12-20,FC Utrecht,Haarlem,1,0
1970-1971,1970-12-20,Feyenoord,Ajax,1,1
1970-1971,1970-12-20,Go Ahead Eagles,Holland Sport,4,0
1970-1971,1970-12-20,MVV,PSV,0,3
1970-1971,1970-12-20,NEC,NAC Breda,1,1
1970-1971,1970-12-20,Telstar,AZ,4,0
1970-1971,1970-12-20,FC Volendam,Excelsior,3,0
1970-1971,1970-12-23,FC Twente,MVV,2,0
1970-1971,1971-01-10,Ajax,NEC,4,1
1970-1971,1971-01-10,AZ,Excelsior,1,1
1970-1971,1971-01-10,FC Utrecht,Feyenoord,1,2
1970-1971,1971-01-10,Haarlem,Go Ahead Eagles,0,0
1970-1971,1971-01-10,Holland Sport,MVV,1,1
1970-1971,1971-01-10,NAC Breda,ADO Den Haag,0,3
1970-1971,1971-01-10,PSV,DWS,8,0
1970-1971,1971-01-10,Sparta Rotterdam,Telstar,1,0
1970-1971,1971-01-17,ADO Den Haag,Holland Sport,0,0
1970-1971,1971-01-17,DWS,NAC Breda,1,1
1970-1971,1971-01-17,Excelsior,Sparta Rotterdam,0,2
1970-1971,1971-01-17,Feyenoord,AZ,6,1
1970-1971,1971-01-17,MVV,Ajax,1,0
1970-1971,1971-01-17,Telstar,FC Twente,0,0
1970-1971,1971-01-17,FC Volendam,PSV,0,2
1970-1971,1971-01-24,Ajax,ADO Den Haag,3,0
1970-1971,1971-01-24,AZ,Sparta Rotterdam,1,1
1970-1971,1971-01-24,FC Twente,Excelsior,5,0
1970-1971,1971-01-24,FC Utrecht,NEC,3,0
1970-1971,1971-01-24,Feyenoord,Go Ahead Eagles,3,0
1970-1971,1971-01-24,Haarlem,MVV,1,1
1970-1971,1971-01-24,Holland Sport,DWS,1,1
1970-1971,1971-01-24,NAC Breda,FC Volendam,2,1
1970-1971,1971-01-24,PSV,Telstar,2,1
1970-1971,1971-01-31,ADO Den Haag,Haarlem,6,0
1970-1971,1971-01-31,DWS,Ajax,0,1
1970-1971,1971-01-31,Excelsior,PSV,1,4
1970-1971,1971-01-31,Go Ahead Eagles,AZ,2,0
1970-1971,1971-01-31,MVV,FC Utrecht,6,0
1970-1971,1971-01-31,NEC,Feyenoord,1,0
1970-1971,1971-01-31,Sparta Rotterdam,FC Twente,2,1
1970-1971,1971-01-31,Telstar,NAC Breda,2,1
1970-1971,1971-01-31,FC Volendam,Holland Sport,1,0
1970-1971,1971-02-07,Ajax,Go Ahead Eagles,5,1
1970-1971,1971-02-07,AZ,FC Utrecht,1,3
1970-1971,1971-02-07,Excelsior,Telstar,1,2
1970-1971,1971-02-07,FC Twente,DWS,1,1
1970-1971,1971-02-07,Haarlem,Feyenoord,0,1
1970-1971,1971-02-07,Holland Sport,NEC,1,0
1970-1971,1971-02-07,NAC Breda,MVV,3,1
1970-1971,1971-02-07,PSV,ADO Den Haag,1,0
1970-1971,1971-02-07,Sparta Rotterdam,FC Volendam,1,0
1970-1971,1971-02-14,FC Twente,FC Volendam,2,1
1970-1971,1971-02-14,Go Ahead Eagles,FC Utrecht,2,0
1970-1971,1971-02-14,NEC,Haarlem,1,0
1970-1971,1971-02-18,Feyenoord,MVV,1,0
1970-1971,1971-02-21,Ajax,FC Volendam,4,0
1970-1971,1971-02-21,AZ,FC Twente,0,2
1970-1971,1971-02-21,FC Utrecht,ADO Den Haag,3,1
1970-1971,1971-02-21,Go Ahead Eagles,NEC,2,2
1970-1971,1971-02-21,Haarlem,DWS,2,2
1970-1971,1971-02-21,Holland Sport,Telstar,1,1
1970-1971,1971-02-21,NAC Breda,Excelsior,1,0
1970-1971,1971-02-21,PSV,Sparta Rotterdam,0,0
1970-1971,1971-02-28,ADO Den Haag,Feyenoord,2,0
1970-1971,1971-02-28,DWS,FC Utrecht,2,2
1970-1971,1971-02-28,Excelsior,Holland Sport,1,0
1970-1971,1971-02-28,FC Twente,PSV,2,1
1970-1971,1971-02-28,MVV,Go Ahead Eagles,0,1
1970-1971,1971-02-28,NEC,AZ,3,0
1970-1971,1971-02-28,Sparta Rotterdam,NAC Breda,1,1
1970-1971,1971-02-28,Telstar,Ajax,0,1
1970-1971,1971-02-28,FC Volendam,Haarlem,1,0
1970-1971,1971-03-21,ADO Den Haag,NEC,3,1
1970-1971,1971-03-21,DWS,Go Ahead Eagles,2,1
1970-1971,1971-03-21,Excelsior,Haarlem,1,0
1970-1971,1971-03-21,FC Twente,Holland Sport,3,1
1970-1971,1971-03-21,MVV,AZ,1,0
1970-1971,1971-03-21,PSV,NAC Breda,1,1
1970-1971,1971-03-21,Sparta Rotterdam,Ajax,0,0
1970-1971,1971-03-21,Telstar,FC Utrecht,3,0
1970-1971,1971-03-21,FC Volendam,Feyenoord,0,1
1970-1971,1971-03-28,Ajax,FC Twente,3,0
1970-1971,1971-03-28,AZ,NAC Breda,2,1
1970-1971,1971-03-28,FC Utrecht,Excelsior,1,0
1970-1971,1971-03-28,Feyenoord,Telstar,4,0
1970-1971,1971-03-28,Go Ahead Eagles,FC Volendam,0,0
1970-1971,1971-03-28,Haarlem,Sparta Rotterdam,1,1
1970-1971,1971-03-28,Holland Sport,PSV,0,5
1970-1971,1971-03-28,MVV,ADO Den Haag,0,1
1970-1971,1971-03-28,NEC,DWS,1,0
1970-1971,1971-04-12,Ajax,Excelsior,7,0
1970-1971,1971-04-12,AZ,PSV,0,1
1970-1971,1971-04-12,FC Utrecht,FC Volendam,2,2
1970-1971,1971-04-12,Feyenoord,DWS,3,0
1970-1971,1971-04-12,Go Ahead Eagles,ADO Den Haag,3,0
1970-1971,1971-04-12,Haarlem,Telstar,0,1
1970-1971,1971-04-12,Holland Sport,Sparta Rotterdam,0,2
1970-1971,1971-04-12,NAC Breda,FC Twente,0,1
1970-1971,1971-04-12,NEC,MVV,3,0
1970-1971,1971-04-18,ADO Den Haag,AZ,3,0
1970-1971,1971-04-18,DWS,MVV,1,0
1970-1971,1971-04-18,Excelsior,Feyenoord,0,4
1970-1971,1971-04-18,FC Twente,Haarlem,2,0
1970-1971,1971-04-18,NAC Breda,Holland Sport,3,4
1970-1971,1971-04-18,PSV,Ajax,0,3
1970-1971,1971-04-18,Sparta Rotterdam,FC Utrecht,3,1
1970-1971,1971-04-18,Telstar,Go Ahead Eagles,0,1
1970-1971,1971-04-18,FC Volendam,NEC,1,0
1970-1971,1971-04-25,ADO Den Haag,DWS,4,0
1970-1971,1971-04-25,AZ,Holland Sport,3,3
1970-1971,1971-04-25,FC Utrecht,FC Twente,1,2
1970-1971,1971-04-25,Feyenoord,Sparta Rotterdam,4,1
1970-1971,1971-04-25,Go Ahead Eagles,Excelsior,3,0
1970-1971,1971-04-25,Haarlem,PSV,1,3
1970-1971,1971-04-25,MVV,FC Volendam,0,0
1970-1971,1971-04-25,NEC,Telstar,3,0
1970-1971,1971-05-02,DWS,AZ,0,0
1970-1971,1971-05-02,Excelsior,NEC,2,1
1970-1971,1971-05-02,FC Twente,Feyenoord,1,2
1970-1971,1971-05-02,Holland Sport,Ajax,0,3
1970-1971,1971-05-02,NAC Breda,Haarlem,2,0
1970-1971,1971-05-02,PSV,FC Utrecht,4,1
1970-1971,1971-05-02,Sparta Rotterdam,Go Ahead Eagles,1,2
1970-1971,1971-05-02,Telstar,MVV,0,1
1970-1971,1971-05-02,FC Volendam,ADO Den Haag,2,3
1970-1971,1971-05-09,ADO Den Haag,Telstar,1,0
1970-1971,1971-05-09,AZ,Ajax,0,3
1970-1971,1971-05-09,DWS,FC Volendam,2,2
1970-1971,1971-05-09,FC Utrecht,NAC Breda,0,0
1970-1971,1971-05-09,Feyenoord,PSV,2,1
1970-1971,1971-05-09,Go Ahead Eagles,FC Twente,1,0
1970-1971,1971-05-09,Haarlem,Holland Sport,1,1
1970-1971,1971-05-09,MVV,Excelsior,0,0
1970-1971,1971-05-09,NEC,Sparta Rotterdam,3,0
1970-1971,1971-05-12,Ajax,NAC Breda,3,0
1970-1971,1971-05-16,Ajax,Haarlem,4,0
1970-1971,1971-05-16,Excelsior,ADO Den Haag,1,1
1970-1971,1971-05-16,FC Twente,NEC,2,0
1970-1971,1971-05-16,Holland Sport,FC Utrecht,1,1
1970-1971,1971-05-16,NAC Breda,Feyenoord,1,3
1970-1971,1971-05-16,PSV,Go Ahead Eagles,2,1
1970-1971,1971-05-16,Sparta Rotterdam,MVV,0,0
1970-1971,1971-05-16,Telstar,DWS,1,1
1970-1971,1971-05-16,FC Volendam,AZ,1,0
1970-1971,1971-05-23,ADO Den Haag,Sparta Rotterdam,2,1
1970-1971,1971-05-23,AZ,Haarlem,4,0
1970-1971,1971-05-23,DWS,Excelsior,0,0
1970-1971,1971-05-23,FC Utrecht,Ajax,0,3
1970-1971,1971-05-23,Feyenoord,Holland Sport,6,1
1970-1971,1971-05-23,Go Ahead Eagles,NAC Breda,4,3
1970-1971,1971-05-23,MVV,FC Twente,0,2
1970-1971,1971-05-23,NEC,PSV,0,0
1970-1971,1971-05-23,FC Volendam,Telstar,2,0
1970-1971,1971-05-27,Ajax,Feyenoord,1,3
1970-1971,1971-05-30,AZ,Telstar,0,1
1970-1971,1971-05-30,Excelsior,FC Volendam,0,0
1970-1971,1971-05-30,FC Twente,ADO Den Haag,0,0
1970-1971,1971-05-30,Haarlem,FC Utrecht,1,1
1970-1971,1971-05-30,Holland Sport,Go Ahead Eagles,2,2
1970-1971,1971-05-30,NAC Breda,NEC,1,1
1970-1971,1971-05-30,PSV,MVV,2,0
1970-1971,1971-05-30,Sparta Rotterdam,DWS,6,1
1970-1971,1971-06-06,ADO Den Haag,PSV,1,1
1970-1971,1971-06-06,DWS,FC Twente,0,0
1970-1971,1971-06-06,FC Utrecht,AZ,2,0
1970-1971,1971-06-06,Feyenoord,Haarlem,2,1
1970-1971,1971-06-06,Go Ahead Eagles,Ajax,4,1
1970-1971,1971-06-06,MVV,NAC Breda,3,1
1970-1971,1971-06-06,NEC,Holland Sport,1,1
1970-1971,1971-06-06,Telstar,Excelsior,1,0
1970-1971,1971-06-06,FC Volendam,Sparta Rotterdam,2,2
1971-1972,1971-08-15,DWS,Vitesse,1,0
1971-1972,1971-08-15,Excelsior,Telstar,0,1
1971-1972,1971-08-15,FC Den Haag,FC Den Bosch,2,1
1971-1972,1971-08-15,FC Groningen,FC Utrecht,0,1
1971-1972,1971-08-15,FC Twente,Ajax,0,2
1971-1972,1971-08-15,NAC Breda,Feyenoord,1,2
1971-1972,1971-08-15,NEC,Go Ahead Eagles,3,0
1971-1972,1971-08-15,PSV,MVV,0,1
1971-1972,1971-08-15,Sparta Rotterdam,FC Volendam,4,1
1971-1972,1971-08-22,Ajax,FC Den Haag,1,0
1971-1972,1971-08-22,FC Den Bosch,Sparta Rotterdam,0,3
1971-1972,1971-08-22,FC Utrecht,NAC Breda,1,2
1971-1972,1971-08-22,Feyenoord,PSV,1,0
1971-1972,1971-08-22,Go Ahead Eagles,DWS,0,1
1971-1972,1971-08-22,MVV,NEC,0,1
1971-1972,1971-08-22,Telstar,FC Groningen,0,0
1971-1972,1971-08-22,Vitesse,FC Twente,0,1
1971-1972,1971-08-22,FC Volendam,Excelsior,1,0
1971-1972,1971-08-29,DWS,MVV,2,3
1971-1972,1971-08-29,Excelsior,FC Den Bosch,0,0
1971-1972,1971-08-29,FC Den Haag,FC Twente,0,0
1971-1972,1971-08-29,FC Groningen,FC Volendam,1,1
1971-1972,1971-08-29,Go Ahead Eagles,Vitesse,5,1
1971-1972,1971-08-29,NAC Breda,Telstar,1,1
1971-1972,1971-08-29,NEC,Feyenoord,1,2
1971-1972,1971-08-29,PSV,FC Utrecht,1,0
1971-1972,1971-08-29,Sparta Rotterdam,Ajax,1,1
1971-1972,1971-09-05,Ajax,Excelsior,1,0
1971-1972,1971-09-05,FC Den Bosch,FC Groningen,1,1
1971-1972,1971-09-05,FC Twente,Sparta Rotterdam,1,0
1971-1972,1971-09-05,FC Utrecht,NEC,3,1
1971-1972,1971-09-05,Feyenoord,DWS,4,0
1971-1972,1971-09-05,MVV,Go Ahead Eagles,3,1
1971-1972,1971-09-05,Telstar,PSV,2,1
1971-1972,1971-09-05,Vitesse,FC Den Haag,0,2
1971-1972,1971-09-05,FC Volendam,NAC Breda,1,1
1971-1972,1971-09-12,DWS,FC Utrecht,2,0
1971-1972,1971-09-12,Excelsior,FC Twente,0,0
1971-1972,1971-09-12,FC Groningen,Ajax,0,0
1971-1972,1971-09-12,Go Ahead Eagles,Feyenoord,0,1
1971-1972,1971-09-12,MVV,Vitesse,0,0
1971-1972,1971-09-12,NAC Breda,FC Den Bosch,1,0
1971-1972,1971-09-12,NEC,Telstar,2,1
1971-1972,1971-09-12,PSV,FC Volendam,4,0
1971-1972,1971-09-12,Sparta Rotterdam,FC Den Haag,5,2
1971-1972,1971-09-19,Ajax,NAC Breda,5,0
1971-1972,1971-09-19,FC Den Bosch,PSV,0,7
1971-1972,1971-09-19,FC Den Haag,Excelsior,3,0
1971-1972,1971-09-19,FC Twente,FC Groningen,4,2
1971-1972,1971-09-19,FC Utrecht,Go Ahead Eagles,3,3
1971-1972,1971-09-19,Feyenoord,MVV,2,0
1971-1972,1971-09-19,Telstar,DWS,1,1
1971-1972,1971-09-19,Vitesse,Sparta Rotterdam,0,6
1971-1972,1971-09-19,FC Volendam,NEC,0,1
1971-1972,1971-09-26,DWS,FC Volendam,1,0
1971-1972,1971-09-26,Excelsior,Sparta Rotterdam,0,0
1971-1972,1971-09-26,FC Groningen,FC Den Haag,1,2
1971-1972,1971-09-26,Feyenoord,Vitesse,4,0
1971-1972,1971-09-26,Go Ahead Eagles,Telstar,5,0
1971-1972,1971-09-26,MVV,FC Utrecht,0,1
1971-1972,1971-09-26,NAC Breda,FC Twente,0,0
1971-1972,1971-09-26,NEC,FC Den Bosch,1,0
1971-1972,1971-09-26,PSV,Ajax,1,1
1971-1972,1971-10-03,Ajax,NEC,1,0
1971-1972,1971-10-03,FC Den Bosch,DWS,0,0
1971-1972,1971-10-03,FC Den Haag,NAC Breda,2,1
1971-1972,1971-10-03,FC Twente,PSV,2,0
1971-1972,1971-10-03,FC Utrecht,Feyenoord,0,0
1971-1972,1971-10-03,Sparta Rotterdam,FC Groningen,3,3
1971-1972,1971-10-03,Telstar,MVV,1,0
1971-1972,1971-10-03,Vitesse,Excelsior,1,0
1971-1972,1971-10-03,FC Volendam,Go Ahead Eagles,0,0
1971-1972,1971-10-17,DWS,Ajax,0,2
1971-1972,1971-10-17,FC Groningen,Excelsior,2,3
1971-1972,1971-10-17,FC Utrecht,Vitesse,5,1
1971-1972,1971-10-17,Feyenoord,Telstar,2,0
1971-1972,1971-10-17,Go Ahead Eagles,FC Den Bosch,1,0
1971-1972,1971-10-17,MVV,FC Volendam,1,0
1971-1972,1971-10-17,NAC Breda,Sparta Rotterdam,3,3
1971-1972,1971-10-17,NEC,FC Twente,0,2
1971-1972,1971-10-17,PSV,FC Den Haag,0,1
1971-1972,1971-10-24,Ajax,Go Ahead Eagles,4,1
1971-1972,1971-10-24,Excelsior,NAC Breda,1,1
1971-1972,1971-10-24,FC Den Bosch,MVV,2,3
1971-1972,1971-10-24,FC Den Haag,NEC,4,0
1971-1972,1971-10-24,FC Twente,DWS,0,0
1971-1972,1971-10-24,Sparta Rotterdam,PSV,1,1
1971-1972,1971-10-24,Telstar,FC Utrecht,0,2
1971-1972,1971-10-24,Vitesse,FC Groningen,1,2
1971-1972,1971-10-24,FC Volendam,Feyenoord,0,3
1971-1972,1971-10-31,DWS,FC Den Haag,0,1
1971-1972,1971-10-31,FC Utrecht,FC Volendam,2,1
1971-1972,1971-10-31,Feyenoord,FC Den Bosch,5,0
1971-1972,1971-10-31,Go Ahead Eagles,FC Twente,1,4
1971-1972,1971-10-31,MVV,Ajax,0,3
1971-1972,1971-10-31,NAC Breda,FC Groningen,2,1
1971-1972,1971-10-31,NEC,Sparta Rotterdam,1,2
1971-1972,1971-10-31,PSV,Excelsior,1,2
1971-1972,1971-10-31,Telstar,Vitesse,2,0
1971-1972,1971-11-07,Ajax,Feyenoord,2,1
1971-1972,1971-11-07,Excelsior,NEC,2,1
1971-1972,1971-11-07,FC Den Bosch,FC Utrecht,1,4
1971-1972,1971-11-07,FC Den Haag,Go Ahead Eagles,2,0
1971-1972,1971-11-07,FC Groningen,PSV,1,1
1971-1972,1971-11-07,FC Twente,MVV,2,0
1971-1972,1971-11-07,Sparta Rotterdam,DWS,3,1
1971-1972,1971-11-07,Vitesse,NAC Breda,1,2
1971-1972,1971-11-07,FC Volendam,Telstar,1,5
1971-1972,1971-11-14,DWS,Excelsior,1,0
1971-1972,1971-11-14,FC Utrecht,Ajax,2,3
1971-1972,1971-11-14,Feyenoord,FC Twente,0,1
1971-1972,1971-11-14,Go Ahead Eagles,Sparta Rotterdam,1,1
1971-1972,1971-11-14,MVV,FC Den Haag,2,0
1971-1972,1971-11-14,NEC,FC Groningen,0,0
1971-1972,1971-11-14,PSV,NAC Breda,2,2
1971-1972,1971-11-14,Telstar,FC Den Bosch,1,0
1971-1972,1971-11-14,FC Volendam,Vitesse,0,0
1971-1972,1971-11-21,Ajax,Telstar,5,2
1971-1972,1971-11-21,Excelsior,Go Ahead Eagles,0,2
1971-1972,1971-11-21,FC Den Haag,Feyenoord,1,2
1971-1972,1971-11-21,FC Groningen,DWS,4,0
1971-1972,1971-11-21,FC Twente,FC Utrecht,0,1
1971-1972,1971-11-21,Sparta Rotterdam,MVV,3,0
1971-1972,1971-11-21,Vitesse,PSV,1,1
1971-1972,1971-11-28,DWS,NAC Breda,2,4
1971-1972,1971-11-28,FC Den Bosch,Vitesse,2,1
1971-1972,1971-11-28,FC Utrecht,FC Den Haag,1,1
1971-1972,1971-11-28,Feyenoord,Sparta Rotterdam,2,0
1971-1972,1971-11-28,Go Ahead Eagles,FC Groningen,2,1
1971-1972,1971-11-28,MVV,Excelsior,3,0
1971-1972,1971-11-28,NEC,PSV,1,0
1971-1972,1971-11-28,Telstar,FC Twente,0,2
1971-1972,1971-11-28,FC Volendam,Ajax,0,1
1971-1972,1971-12-05,Ajax,FC Den Bosch,5,0
1971-1972,1971-12-05,Excelsior,Feyenoord,0,1
1971-1972,1971-12-05,FC Den Haag,Telstar,2,2
1971-1972,1971-12-05,FC Groningen,MVV,1,0
1971-1972,1971-12-05,FC Twente,FC Volendam,4,0
1971-1972,1971-12-05,NAC Breda,Go Ahead Eagles,0,1
1971-1972,1971-12-05,NEC,Vitesse,2,0
1971-1972,1971-12-05,PSV,DWS,1,0
1971-1972,1971-12-05,Sparta Rotterdam,FC Utrecht,2,1
1971-1972,1971-12-12,DWS,NEC,2,3
1971-1972,1971-12-12,FC Den Bosch,FC Twente,0,0
1971-1972,1971-12-12,FC Utrecht,Excelsior,6,1
1971-1972,1971-12-12,Feyenoord,FC Groningen,4,1
1971-1972,1971-12-12,Go Ahead Eagles,PSV,3,1
1971-1972,1971-12-12,MVV,NAC Breda,2,1
1971-1972,1971-12-12,Telstar,Sparta Rotterdam,1,2
1971-1972,1971-12-12,Vitesse,Ajax,1,3
1971-1972,1971-12-12,FC Volendam,FC Den Haag,0,0
1971-1972,1971-12-19,Ajax,FC Twente,1,0
1971-1972,1971-12-19,FC Den Bosch,FC Den Haag,2,3
