season,date,home_team,away_team,home_score,away_score,match_result,match_result_numeric,home_elo,away_elo,home_form_score,away_form_score,home_goal_difference,away_goal_difference,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_goal_diff,last10_h2h_home_wins,last10_h2h_away_wins,last10_h2h_draws,last100_h2h_goal_diff,last10_h2h_goal_diff,home_team_home_win_pct,away_team_away_win_pct,elo_difference
1956-1957,1956-10-28,GVAV,BVC Amsterdam,1,1,draw,0,986.0066590186335,982.7812471767095,11.2,5.3999999999999995,-1,-9,0,0,0,0,0,0,0,0,0.0,0.6666666666666666,0.3333333333333333,3.2254118419240285
1956-1957,1956-10-28,Fortuna Sittard,BVV Den Bosch,4,1,home_win,1,1046.8401132261085,940.8707198859441,12.8,4.800000000000001,6,-10,0,0,0,0,0,0,0,0,0.0,1.0,0.0,105.9693933401644
1956-1957,1956-10-28,DOS,Feyenoord,4,0,home_win,1,1006.0800182107164,1042.558434979693,10.799999999999999,18.0,8,9,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333,-36.47841676897656
1956-1957,1956-10-28,Ajax,Elinkwijk,1,0,home_win,1,1054.206345562773,981.4248101715108,18.6,6.200000000000001,6,-7,0,0,0,0,0,0,0,0,0.0,1.0,0.6666666666666666,72.78153539126231
1956-1957,1956-10-28,NAC Breda,MVV,2,1,home_win,1,1027.8874451816228,1028.4746295789078,15.6,13.8,7,1,0,0,0,0,0,0,0,0,0.0,0.6666666666666666,0.6666666666666666,-0.5871843972850002
1956-1957,1956-11-11,BVC Amsterdam,PSV,1,3,away_win,-1,982.9297786142905,962.6192737307437,7.200000000000001,7.799999999999999,-3,-4,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333,20.310504883546855
1956-1957,1956-11-11,BVV Den Bosch,VVV-Venlo,1,4,away_win,-1,929.6048902530747,1013.1510198158028,6.0,7.199999999999999,-9,-4,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333,-83.54612956272808
1956-1957,1956-11-11,Eindhoven,GVAV,1,1,draw,0,944.5819649342458,985.8581275810525,7.2,7.000000000000001,-10,-2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-41.27616264680671
1956-1957,1956-11-11,Elinkwijk,NOAD,2,3,away_win,-1,968.7283418367574,1001.0358890769688,7.6,13.2,-4,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-32.30754724021142
1956-1957,1956-11-11,Feyenoord,Ajax,7,3,home_win,1,1024.884687530862,1066.9028138975266,14.4,18.0,1,6,0,0,0,0,0,0,0,0,0.0,1.0,0.6666666666666666,-42.018126366664546
1956-1957,1956-11-11,MVV,Sparta Rotterdam,3,2,home_win,1,1012.4475887638525,985.8056681038762,9.6,5.6,-1,0,0,0,0,0,0,0,0,0,0.0,0.6666666666666666,0.3333333333333333,26.641920659976336
1956-1957,1956-11-11,Roda JC,NAC Breda,5,1,home_win,1,987.2135780556566,1043.914485996678,8.4,19.2,-4,8,0,0,0,0,0,0,0,0,0.0,1.0,0.3333333333333333,-56.70090794102134
1956-1957,1956-11-11,SC Enschede,Fortuna Sittard,4,1,home_win,1,1055.9608283659434,1058.1059428589779,12.399999999999999,18.4,8,10,0,0,0,0,0,0,0,0,0.0,0.6666666666666666,0.3333333333333333,-2.145114493034498
1956-1957,1956-11-11,Willem II,DOS,2,3,away_win,-1,952.5013549241432,1023.7537656595473,1.6,15.6,-6,13,0,0,0,0,0,0,0,0,0.0,0.0,0.6666666666666666,-71.25241073540406
1956-1957,1956-11-18,NAC Breda,Elinkwijk,2,1,home_win,1,1025.3262500884377,954.2118858245723,15.8,2.0,2,-8,0,0,0,0,0,0,0,0,0.0,0.75,0.5,71.11436426386547
1956-1957,1956-11-18,NOAD,Feyenoord,0,0,draw,0,1015.552345089154,1042.8103148425164,11.4,13.2,-1,4,0,0,0,0,0,0,0,0,0.0,0.75,0.25,-27.25796975336243
1956-1957,1956-11-18,GVAV,MVV,0,0,draw,0,983.9661826495726,1027.223082097799,9.6,7.199999999999999,0,-2,0,0,0,0,0,0,0,0,0.0,0.5,0.5,-43.25689944822648
1956-1957,1956-11-18,Sparta Rotterdam,Roda JC,4,3,home_win,1,971.0301747699297,1005.8018139638968,6.6,13.2,2,5,0,0,0,0,0,0,0,0,0.0,0.25,0.0,-34.77163919396719
1956-1957,1956-11-18,Eindhoven,BVC Amsterdam,1,1,draw,0,946.4739098657257,965.9955093064112,2.4,8.799999999999999,-11,-3,0,0,0,0,0,0,0,0,0.0,0.0,0.25,-19.521599440685577
1956-1957,1956-11-18,DOS,BVV Den Bosch,1,3,away_win,-1,1036.5177117047513,917.3798502358105,21.6,0.0,15,-13,0,0,0,0,0,0,0,0,0.0,0.5,0.0,119.13786146894074
1956-1957,1956-11-18,Ajax,Willem II,5,0,home_win,1,1048.9771865858722,939.7374088789394,14.4,2.0,0,-6,0,0,0,0,0,0,0,0,0.0,1.0,0.25,109.23977770693284
1956-1957,1956-11-18,Fortuna Sittard,PSV,1,3,away_win,-1,1042.0071579411117,979.5535430386229,14.6,12.0,2,1,0,0,0,0,0,0,0,0,0.0,1.0,0.5,62.453614902488766
1956-1957,1956-11-25,Elinkwijk,Sparta Rotterdam,1,3,away_win,-1,941.4418420681202,988.6261429890641,0.0,10.799999999999999,-9,6,0,0,0,0,0,0,0,0,0.0,0.0,0.25,-47.18430092094388
1956-1957,1956-11-25,Feyenoord,NAC Breda,2,2,draw,0,1041.557608090062,1038.0962938448897,9.4,14.799999999999999,2,0,0,0,0,0,0,0,0,0,0.0,1.0,0.25,3.461314245172389
